,Restro_name,Restro_link,Avg_rating,Location
29,Republic Of Noodles - Lemon Tree Premier,https://www.zomato.com/bangalore/republic-of-noodles-lemon-tree-premier-ulsoor?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTUwNTAiLDUwNzIyLCIxODYxMDM4MyIsIjE4NTc4Nzk4Iiw1MjIxOSwiMTg3Mzk2MzIiLDE4MzQ2MzY1LCI1ODI2OCIsIjE4Mjg3NDMzIiwiNTM1NzkiLCIxODY0ODAzOSIsIjE4NTY0NzMxIiwiMTg0NTU1NzEiLCIxODM3NDUxNyIsMTg1MTI0MDZdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,4.5,"Lemon Tree Premier, Ulsoor, Bangalore"
30,Maziga,https://www.zomato.com/bangalore/maziga-whitefield-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOls1MDcyMiwiMTg2MTAzODMiLCIxODU3ODc5OCIsIjUyMjE5IiwxODczOTYzMiwxODM0NjM2NSwiNTgyNjgiLCIxODI4NzQzMyIsIjUzNTc5IiwiMTg2NDgwMzkiLCIxODU2NDczMSIsIjE4NDU1NTcxIiwiMTgzNzQ1MTciLDE4NTEyNDA2LCI1ODY0NiJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,4.6,"VR Bengaluru, Whitefield, Bangalore"
31,Galito's,https://www.zomato.com/bangalore/restaurants/galitos?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,4.6,2 Outlets ›
32,The Fatty Bao - Asian Gastro Bar,https://www.zomato.com/bangalore/the-fatty-bao-asian-gastro-bar-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1Nzg3OTgiLCI1MjIxOSIsIjE4NzM5NjMyIiwxODM0NjM2NSw1ODI2OCwiMTgyODc0MzMiLCI1MzU3OSIsIjE4NjQ4MDM5IiwiMTg1NjQ3MzEiLCIxODQ1NTU3MSIsIjE4Mzc0NTE3IiwxODUxMjQwNiwiNTg2NDYiLCI1MTcwNSIsIjE4NzMyNjY1Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.6,"Indiranagar, Bangalore"
33,The Permit Room,https://www.zomato.com/bangalore/the-permit-room-brigade-road-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTIyMTkiLCIxODczOTYzMiIsMTgzNDYzNjUsIjU4MjY4IiwxODI4NzQzMywiNTM1NzkiLCIxODY0ODAzOSIsIjE4NTY0NzMxIiwiMTg0NTU1NzEiLCIxODM3NDUxNyIsMTg1MTI0MDYsIjU4NjQ2IiwiNTE3MDUiLCIxODczMjY2NSIsIjE4NTI2Mjc5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Brigade Road, Bangalore"
34,Lavonne,https://www.zomato.com/bangalore/lavonne-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg3Mzk2MzIiLDE4MzQ2MzY1LCI1ODI2OCIsIjE4Mjg3NDMzIiw1MzU3OSwiMTg2NDgwMzkiLCIxODU2NDczMSIsIjE4NDU1NTcxIiwiMTgzNzQ1MTciLDE4NTEyNDA2LCI1ODY0NiIsIjUxNzA1IiwiMTg3MzI2NjUiLCIxODUyNjI3OSIsIjE4MzIzMTI2Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Indiranagar, Bangalore"
35,THE RIG,https://www.zomato.com/bangalore/the-rig-sarjapur-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsxODM0NjM2NSwiNTgyNjgiLCIxODI4NzQzMyIsIjUzNTc5IiwxODY0ODAzOSwiMTg1NjQ3MzEiLCIxODQ1NTU3MSIsIjE4Mzc0NTE3IiwxODUxMjQwNiwiNTg2NDYiLCI1MTcwNSIsIjE4NzMyNjY1IiwiMTg1MjYyNzkiLCIxODMyMzEyNiIsIjE4MzUzMTI3Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Sarjapur Road, Bangalore"
36,The Konkan - Seafood Restaurant,https://www.zomato.com/bangalore/the-konkan-seafood-restaurant-st-marks-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTgyNjgiLCIxODI4NzQzMyIsIjUzNTc5IiwiMTg2NDgwMzkiLDE4NTY0NzMxLCIxODQ1NTU3MSIsIjE4Mzc0NTE3IiwxODUxMjQwNiwiNTg2NDYiLCI1MTcwNSIsIjE4NzMyNjY1IiwiMTg1MjYyNzkiLCIxODMyMzEyNiIsIjE4MzUzMTI3IiwiNTU0NTMiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.5,"St. Marks Road, Bangalore"
37,Sly Granny - The Community House,https://www.zomato.com/bangalore/sly-granny-the-community-house-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgyODc0MzMiLCI1MzU3OSIsIjE4NjQ4MDM5IiwiMTg1NjQ3MzEiLDE4NDU1NTcxLCIxODM3NDUxNyIsMTg1MTI0MDYsIjU4NjQ2IiwiNTE3MDUiLCIxODczMjY2NSIsIjE4NTI2Mjc5IiwiMTgzMjMxMjYiLCIxODM1MzEyNyIsIjU1NDUzIiwiMTgzMTM1MzEiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.5,"Indiranagar, Bangalore"
38,Smoor,https://www.zomato.com/bangalore/smoor-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTM1NzkiLCIxODY0ODAzOSIsIjE4NTY0NzMxIiwiMTg0NTU1NzEiLDE4Mzc0NTE3LDE4NTEyNDA2LCI1ODY0NiIsIjUxNzA1IiwiMTg3MzI2NjUiLCIxODUyNjI3OSIsIjE4MzIzMTI2IiwiMTgzNTMxMjciLCI1NTQ1MyIsIjE4MzEzNTMxIiwiMTg0MjM0NDAiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==,4.6,"Indiranagar, Bangalore"
39,Belgian Waffle Factory ,https://www.zomato.com/bangalore/restaurants/belgian-waffle-factory?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,4.6,4 Outlets ›
40,Sri Laxmi Venkateshwara Coffee Bar,https://www.zomato.com/bangalore/sri-laxmi-venkateshwara-coffee-bar-banashankari?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1NjQ3MzEiLCIxODQ1NTU3MSIsIjE4Mzc0NTE3IiwxODUxMjQwNiw1ODY0NiwiNTE3MDUiLCIxODczMjY2NSIsIjE4NTI2Mjc5IiwiMTgzMjMxMjYiLCIxODM1MzEyNyIsIjU1NDUzIiwiMTgzMTM1MzEiLCIxODQyMzQ0MCIsIjUyMzc0IiwxODU0ODI5M10sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Banashankari, Bangalore"
41,Toit,https://www.zomato.com/bangalore/toit-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0NTU1NzEiLCIxODM3NDUxNyIsMTg1MTI0MDYsIjU4NjQ2Iiw1MTcwNSwiMTg3MzI2NjUiLCIxODUyNjI3OSIsIjE4MzIzMTI2IiwiMTgzNTMxMjciLCI1NTQ1MyIsIjE4MzEzNTMxIiwiMTg0MjM0NDAiLCI1MjM3NCIsMTg1NDgyOTMsIjE4MjYwMDYzIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.6,"Indiranagar, Bangalore"
42,Barbecue by Punjab Grill,https://www.zomato.com/bangalore/barbecue-by-punjab-grill-malleshwaram-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgzNzQ1MTciLDE4NTEyNDA2LCI1ODY0NiIsIjUxNzA1IiwxODczMjY2NSwiMTg1MjYyNzkiLCIxODMyMzEyNiIsIjE4MzUzMTI3IiwiNTU0NTMiLCIxODMxMzUzMSIsIjE4NDIzNDQwIiwiNTIzNzQiLDE4NTQ4MjkzLCIxODI2MDA2MyIsIjE4MzY2NjY0Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.7,"Malleshwaram, Bangalore"
43,The Globe Grub,https://www.zomato.com/bangalore/the-globe-grub-marathahalli?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsxODUxMjQwNiwiNTg2NDYiLCI1MTcwNSIsIjE4NzMyNjY1IiwxODUyNjI3OSwiMTgzMjMxMjYiLCIxODM1MzEyNyIsIjU1NDUzIiwiMTgzMTM1MzEiLCIxODQyMzQ0MCIsIjUyMzc0IiwxODU0ODI5MywiMTgyNjAwNjMiLCIxODM2NjY2NCIsIjE4MjU0NTk3Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.7,"Marathahalli, Bangalore"
44,Fabelle Chocolate Boutique - ITC Gardenia,https://www.zomato.com/bangalore/fabelle-chocolate-boutique-itc-gardenia-richmond-road-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTg2NDYiLCI1MTcwNSIsIjE4NzMyNjY1IiwiMTg1MjYyNzkiLDE4MzIzMTI2LCIxODM1MzEyNyIsIjU1NDUzIiwiMTgzMTM1MzEiLCIxODQyMzQ0MCIsIjUyMzc0IiwxODU0ODI5MywiMTgyNjAwNjMiLCIxODM2NjY2NCIsIjE4MjU0NTk3Iiw1NDM5N10sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"ITC Gardenia, Bangalore"
45,Delhi Highway,https://www.zomato.com/bangalore/delhi-highway-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTE3MDUiLCIxODczMjY2NSIsIjE4NTI2Mjc5IiwiMTgzMjMxMjYiLDE4MzUzMTI3LCI1NTQ1MyIsIjE4MzEzNTMxIiwiMTg0MjM0NDAiLCI1MjM3NCIsMTg1NDgyOTMsIjE4MjYwMDYzIiwiMTgzNjY2NjQiLCIxODI1NDU5NyIsNTQzOTcsIjUwNzQyIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,4.5,"Indiranagar, Bangalore"
