,Name,Text,Date,Likes
10,Hiteshjorwal,"I bow to <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on his jayanti. He is a warrior.he fought Lifetime against of Mughal .but never admit loss .",18h,
11,Meow,"Remembering Indian Warrior King 
<a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f64f.png"" draggable=""false"" alt=""🙏"" title=""Person with folded hands"" aria-label=""Emoji: Person with folded hands""> <a href=""https://t.co/jCNsTsSIUr"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/jCNsTsSIUr</a>",20h,
12,M Lakshminarayana,"Remembering <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> on his Birthday Anniversary, I Bow to incredible son of India.

<a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""https://t.co/p9c2D9ynLN"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/p9c2D9ynLN</a>",1d,
13,"Rahul Sharma <span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/1f1ee-1f1f3.png')"" title=""Flag of India"" aria-label=""Emoji: Flag of India"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">🇮🇳</span>","Tribute to Chhatrapati Shivaji Maharaj was one of the visionary and inspirational ruler of India, He was the epitome of discipline, planning &amp; bravery. <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""https://t.co/FXF8zEzVLj"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/FXF8zEzVLj</a>",18h,
14,Vishal pathak (om),"Never
BEND YOUR HEAD
ALWAYS HOLD IT
                               HIGH
<a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> 
<a href=""/hashtag/389th?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>389th</b></a> <a href=""/hashtag/Birth?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Birth</b></a> <a href=""/hashtag/Anniversary?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Anniversary</b></a>",Feb 18,
15,Cultivator Natural Products,"Chhatrapati Shivaji - <a href=""/hashtag/Honor?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Honor</b></a> of <a href=""/hashtag/Maharashtra?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Maharashtra</b></a> <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60e.png"" draggable=""false"" alt=""😎"" title=""Smiling face with sunglasses"" aria-label=""Emoji: Smiling face with sunglasses"">
A great leader <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/2694.png"" draggable=""false"" alt=""⚔️"" title=""Crossed swords"" aria-label=""Emoji: Crossed swords""> 
A great freedom fighter <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f9b9-200d-2642-fe0f.png"" draggable=""false"" alt=""🦹‍♂️"" title=""Man supervillain"" aria-label=""Emoji: Man supervillain"">
Whose bravery stories are still remembered and have a permanent impression on our minds. 
<a href=""/hashtag/chhatrapatishivajimaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>chhatrapatishivajimaharaj</strong></b></a> <a href=""/hashtag/jayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>jayanti</b></a> <a href=""/hashtag/india?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>india</b></a> <a href=""/hashtag/freedomfighter?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>freedomfighter</b></a> <a href=""/hashtag/freedom?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>freedom</b></a> <a href=""/hashtag/indianheroes?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>indianheroes</b></a> <a href=""/hashtag/sword?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>sword</b></a> <a href=""/hashtag/battle?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>battle</b></a><a href=""https://t.co/Iw7P6EZB4K"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Iw7P6EZB4K</a>",23h,
16,Prachetan Potadar,"It is <a href=""/hashtag/important?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>important</b></a> for a nation to know that <a href=""/hashtag/ShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiMaharaj</b></a> was for all communities &amp; no community can claim their sole rights over him.

 <a href=""/hashtag/ShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>ShivajiJayanti</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>",20h,
17,Return On Web (ROW),"Let's remember 
a great <a href=""/hashtag/leader?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>leader</b></a>,
a great fighter, 
Honor of Maharashtra 
Chhatrapati Shivaji Maharaj.
<a href=""/hashtag/Returnonweb?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Returnonweb</b></a> Team wishes you and your family a very 
Happy Shivaji Jayanti.

<a href=""/hashtag/HappyShivajiJayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>HappyShivajiJayanti</b></a> <a href=""/hashtag/Shivjayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Shivjayanti</b></a> <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> <a href=""/hashtag/Row?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Row</b></a><a href=""https://t.co/tocYkWrf2s"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/tocYkWrf2s</a>",21h,
18,UNIDAWN,"Remembering the Great King of Our Nation <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a> on his Jayanti. 
The pride of <a href=""/hashtag/Maharashtra?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Maharashtra</b></a>.

<a href=""/hashtag/unidawn?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>unidawn</b></a> <a href=""/hashtag/Shivjayanti?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Shivjayanti</b></a> <a href=""/hashtag/socialidentitynetworking?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>socialidentitynetworking</b></a> <a href=""/hashtag/socialidentitynetwork?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>socialidentitynetwork</b></a> <a href=""/hashtag/socialmedia?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>socialmedia</b></a> <a href=""/hashtag/socialnetwork?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>socialnetwork</b></a> <a href=""/hashtag/2019launch?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>2019launch</b></a>
<a href=""/hashtag/shivaji?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>shivaji</b></a> <a href=""/hashtag/maharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>maharaj</b></a> <a href=""/hashtag/mumbai?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>mumbai</b></a> <a href=""/hashtag/india?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>india</b></a><a href=""https://t.co/zlIh9CXwEY"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/zlIh9CXwEY</a>",11h,
19,"Prabhas <span class=""Emoji Emoji--forLinks"" style=""background-image:url('https://abs.twimg.com/emoji/v2/72x72/2764.png')"" title=""Heavy red heart"" aria-label=""Emoji: Heavy red heart"">&nbsp;</span><span class=""visuallyhidden"" aria-hidden=""true"">❤️</span> @RajSaaho","Saaho king <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60e.png"" draggable=""false"" alt=""😎"" title=""Smiling face with sunglasses"" aria-label=""Emoji: Smiling face with sunglasses""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f60d.png"" draggable=""false"" alt=""😍"" title=""Smiling face with heart-shaped eyes"" aria-label=""Emoji: Smiling face with heart-shaped eyes"">

           <a href=""/hashtag/ChhatrapatiShivajiMaharaj?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b><strong>ChhatrapatiShivajiMaharaj</strong></b></a>

<a href=""/hashtag/Rebelstar?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Rebelstar</b></a><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f918-1f3fb.png"" draggable=""false"" alt=""🤘🏻"" title=""Sign of the horns (light skin tone)"" aria-label=""Emoji: Sign of the horns (light skin tone)""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/2665.png"" draggable=""false"" alt=""♥️"" title=""Heart suit"" aria-label=""Emoji: Heart suit""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f919-1f3fb.png"" draggable=""false"" alt=""🤙🏻"" title=""Call me hand (light skin tone)"" aria-label=""Emoji: Call me hand (light skin tone)"">

  Good night All prabhas fans <img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f490.png"" draggable=""false"" alt=""💐"" title=""Bouquet"" aria-label=""Emoji: Bouquet""><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/1f490.png"" draggable=""false"" alt=""💐"" title=""Bouquet"" aria-label=""Emoji: Bouquet"">
<a href=""/hashtag/Prabhas?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Prabhas</b></a><img class=""Emoji Emoji--forText"" src=""https://abs.twimg.com/emoji/v2/72x72/2764.png"" draggable=""false"" alt=""❤️"" title=""Heavy red heart"" aria-label=""Emoji: Heavy red heart"">
<a href=""/hashtag/Saaho?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Saaho</b></a>
<a href=""/SaahoOfficial"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""1053221826443132929""><s>@</s><b>SaahoOfficial</b></a> 
<a href=""/hashtag/Saahomovie?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Saahomovie</b></a>
<a href=""/hashtag/PRABHAS20?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>PRABHAS20</b></a>
<a href=""/UV_Creations"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""2438089207""><s>@</s><b>UV_Creations</b></a> 
<a href=""/hashtag/Mumbai?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>Mumbai</b></a><a href=""https://t.co/eD3DJO1UZW"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/eD3DJO1UZW</a>",12h,1
