,Text,Date,Likes
117,"Thank you for the phenomenal support Madurai! <a href=""/BJP4TamilNadu"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""396707695""><s>@</s><b>BJP4TamilNadu</b></a><a href=""https://t.co/xBaWpQVUz4"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/xBaWpQVUz4</a>",Jan 27,549
118,"To settle personal scores, leaders of the Kerala Congress played with India’s strategic interests. 

Can such a Party ever think about the welfare of 130 crore Indians?<a href=""https://t.co/IHxPw75sK4"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/IHxPw75sK4</a>",Jan 27,262
119,"Elections will come and go, the nation will remain.<a href=""https://t.co/vGima4nH3M"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/vGima4nH3M</a>",Jan 27,472
120,"The Opposition is bankrupt when it comes to a positive agenda for India’s development.

Their respect for institutions is minimal.

Congress leaders are also going abroad to insult people’s mandates.

130 crore Indians are seeing everything! They will punish such forces.<a href=""https://t.co/SumAmymgIm"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/SumAmymgIm</a>",Jan 27,885
121,"Our endeavour is to make India a hub for the petrochemicals sector. 

‘Make in India’ offers many opportunities in this regard.<a href=""https://t.co/da6tsXU2wD"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/da6tsXU2wD</a>",Jan 27,293
122,"Today, various projects were initiated at the Kochi Refinery. 

These will go a long way in strengthening the petroleum and energy sector in India.<a href=""https://t.co/rQAcYl7usH"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/rQAcYl7usH</a>",Jan 27,170
123,"Ensuring social justice and inclusive growth for all sections of society.<a href=""https://t.co/iGjYbdi0Rb"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/iGjYbdi0Rb</a>",Jan 27,208
124,"As far as Tamil Nadu is concerned, the NDA Government is working to make the state a hub for defence and aerospace sectors.

The State is also at the core of our vision of port-led development.<a href=""https://t.co/KMwfBy4LJj"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/KMwfBy4LJj</a>",Jan 27,388
125,"Delighted to be in the ancient city of Madurai, which has a central place in the history and culture of Tamil Nadu. 

Laid the foundation stone for various projects relating to the health sector, including AIIMS. 

These projects will benefit the people of Tamil Nadu.<a href=""https://t.co/wSGZJOkX2A"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/wSGZJOkX2A</a>",Jan 27,249
126,"Tune in at 11 AM today. <a href=""/hashtag/MannKiBaat?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>MannKiBaat</b></a><a href=""https://t.co/bQyZiy1c4B"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/bQyZiy1c4B</a>",Jan 26,614
127,"Dear Exam Warriors, 

People across India are standing shoulder to shoulder with you as you prepare for the exams.

Looking forward to seeing you all at a Pariksha Pe Charcha 2.0 Town Hall programme on the 29th! I hope you are sending your thoughts and ideas for the same as well.<a href=""https://t.co/9VyhN5fm49"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/9VyhN5fm49</a>",Jan 26,1.1K
128,"The colours of India…

Have a look at the cultural diversity of our country shown at the <a href=""/hashtag/RepublicDay2019?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>RepublicDay2019</b></a> celebrations.<a href=""https://t.co/TMdtzLDpwp"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/TMdtzLDpwp</a>",Jan 26,771
129,"India’s military and security prowess at Rajpath.

Ours is a land of peace, which has shown the way when it comes to harmony and brotherhood. At the same time, we are fully prepared to give a strong answer to those elements who disturb the atmosphere of peace and spread violence.<a href=""https://t.co/itprKi8PfV"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/itprKi8PfV</a>",Jan 26,821
130,"Our vibrant Republic! 

Here are some glimpses from the <a href=""/hashtag/RepublicDay2019?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>RepublicDay2019</b></a> celebrations at Rajpath.<a href=""https://t.co/1eKQyGQEEK"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/1eKQyGQEEK</a>",Jan 26,625
131,"At Amar Jawan Jyoti, a grateful nation pays homage to the brave soldiers who sacrificed their own lives for the nation. 

We salute their courage and patriotism.<a href=""https://t.co/FMGSwrhGKo"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/FMGSwrhGKo</a>",Jan 26,1.2K
132,"Heard the insightful views of President <a href=""/CyrilRamaphosa"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""2987156301""><s>@</s><b>CyrilRamaphosa</b></a> at the Gandhi-Mandela Memorial Freedom Lecture in New Delhi.<a href=""https://t.co/awdm0VceoI"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/awdm0VceoI</a>",Jan 25,153
133,"Cooperation in areas such as agriculture, food processing, skill development, IT, gems and jewellery augurs well for the partnership between India and South Africa. 

President <a href=""/CyrilRamaphosa"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""2987156301""><s>@</s><b>CyrilRamaphosa</b></a> and I also talked about steps to boost people-to-people ties.<a href=""https://t.co/QTCRIYi4uG"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/QTCRIYi4uG</a>",Jan 25,171
134,"India and South Africa are shaped by the ideals of the great Mahatma Gandhi and the venerable Madiba. 

Guided by their thoughts, we are committed towards ensuring peace and prosperity for the people of our nations as well as deepening cooperation in various sectors.<a href=""https://t.co/lo8JSk3aaf"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/lo8JSk3aaf</a>",Jan 25,232
135,"India is honoured to welcome President <a href=""/CyrilRamaphosa"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""2987156301""><s>@</s><b>CyrilRamaphosa</b></a>. 

He is visiting us at a special time, when we are marking Bapu's 150th birth anniversary and have marked the birth centenary of beloved Madiba. 

This visit will have a positive impact on India-South Africa relations.<a href=""https://t.co/Vs0t8fHXFv"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Vs0t8fHXFv</a>",Jan 25,247
136,"हर वोट की अहमियत है, हर वोट खास है, 

वोट सिर्फ ठप्पा नहीं, हमारी आवाज है।

तो देश के प्यारे युवाओं, अपना पहला वोट बनाओ यादगार,

आज सब मिलकर लें संकल्प...अबकी बार, फिर मोदी सरकार। <a href=""/hashtag/YouthWithModi?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>YouthWithModi</b></a><a href=""https://t.co/pyGj24sa86"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/pyGj24sa86</a>",Jan 24,2.0K
137,"Had an excellent interaction with tableaux artistes, guests from tribal communities, NCC cadets and NSS volunteers at 7, Lok Kalyan Marg today.<a href=""https://t.co/nVZwrCZCNl"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/nVZwrCZCNl</a>",Jan 24,178
138,"India is phenomenally proud of these young achievers, who have been distinguishing themselves in a wide range of areas. 

Wishing them the very best for their endeavours ahead. 

<a href=""https://t.co/YGUhfpAwGg"" rel=""nofollow noopener"" dir=""ltr"" data-expanded-url=""http://www.pmindia.gov.in/en/news_updates/pm-interacts-with-winners-of-rashtriya-bal-puraskar-2019/?comment=disable"" class=""twitter-timeline-link"" target=""_blank"" title=""http://www.pmindia.gov.in/en/news_updates/pm-interacts-with-winners-of-rashtriya-bal-puraskar-2019/?comment=disable""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">pmindia.gov.in/en/news_update</span><span class=""invisible"">s/pm-interacts-with-winners-of-rashtriya-bal-puraskar-2019/?comment=disable</span><span class=""tco-ellipsis""><span class=""invisible"">&nbsp;</span>…</span></a><a href=""https://t.co/vNkd5ixhZA"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/vNkd5ixhZA</a>",Jan 24,247
139,"Honouring a young genius! 

Raam M is a versatile music maestro. He is among the youngest Indians to have succeeded with distinction in final (8th) grade examination by Trinity College, London. He has also taken part in many Carnatic Music Concerts.<a href=""https://t.co/DntMZIbDEM"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DntMZIbDEM</a>",Jan 24,157
140,"Dev Dushyantkumar Joshi has distinguished himself as an actor. His work in TV serials has been admired all over. Happy to have met this winner of the Bal Shakti Puraskar.<a href=""https://t.co/jFtXN2fpMA"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/jFtXN2fpMA</a>",Jan 24,131
141,"Vinayaka M belongs to Karnataka. He is a versatile artist and has given several stupendous performances. His musical talent has been appreciated nationally and globally.<a href=""https://t.co/WUT5MC42cA"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/WUT5MC42cA</a>",Jan 24,110
142,"Meet Aryaman Agarwal.

He is a young magician, who presents interesting magic tricks. He has done shows not only for large audiences but also has done many workshops and demonstrations for the underprivileged.<a href=""https://t.co/1UEoKiyiHx"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/1UEoKiyiHx</a>",Jan 24,118
143,"Truptraj Atul Pandya is a master percussionist He is an established radio and TV artist as well, who has given more than several live performances. Proud that he has been conferred the Bal Shakti Puraskar.<a href=""https://t.co/iZu8ThvxH0"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/iZu8ThvxH0</a>",Jan 24,118
144,"Meeting and knowing brave Nikhil Jituri was a pleasure. He saved the life of a two-year-old who accidentally fell into a deep open well. Our young friend from Karnataka showed great courage and presence of mind. I congratulate Nikhil on winning the Bal Shakti Puraskar!<a href=""https://t.co/kcQXjyB0dm"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/kcQXjyB0dm</a>",Jan 24,106
145,"Kartik Kumar Goyal and Adrika Goyal from Madhya Pradesh showed courage and social consciousness in providing food, water, and first aid to panicked train passengers during an adverse situation. I congratulate my brave young friends on winning the Bal Shakti Puraskar!<a href=""https://t.co/Z6dU5NUjLL"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Z6dU5NUjLL</a>",Jan 24,131
146,"Angel Vijay Deokule, from Maharashtra, is an inspiration for young girls. She is an Sqay martial artist and has brought laurels for India globally. Congratulations on winning the Bal Shakti Puraskar and all the best for the upcoming championships!<a href=""https://t.co/uOsbrIl2Dc"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/uOsbrIl2Dc</a>",Jan 24,136
147,"Anish, from Haryana, is great at aiming and achieving. He is an international Gold medalist young shooter who won at the Commonwealth Games in Gold Coast. I congratulate young Anish on winning the Bal Shakti Puraskar and wish him great success in the future!<a href=""https://t.co/ag61VLybpq"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/ag61VLybpq</a>",Jan 24,136
148,"It was a pleasure meeting young Priyam Tated. From Andhra Pradesh, he is a wonderful exponent of Roller or Figure Skating. He has made India proud by winning several awards on the world stage. Congratulations Priyam on winning the Bal Shakti Puraskar.<a href=""https://t.co/kZwhIan7yN"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/kZwhIan7yN</a>",Jan 24,128
149,"My young friend Esow from Andaman and Nicobar islands has made us proud. He was awarded the Junior World No. 1 at the UCI Junior Track Cycling World Championship in Switzerland. 

Congratulations, Esow!<a href=""https://t.co/NDPC0IgQlV"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/NDPC0IgQlV</a>",Jan 24,93
150,"Young Shivangi from Haryana is scaling the peaks of achievement, literally! 

She is the youngest girl from India to scale Mount Everest from the Nepal side. She has also climbed the highest peaks in Africa and Europe. 

I congratulate her on winning the Bal Shakti Puraskar.<a href=""https://t.co/DROBjRTRZQ"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DROBjRTRZQ</a>",Jan 24,201
151,"Nishant Dhankhar is an ace mathematician, who has won many accolades internationally. 

His project on Szemerédi's theorem has been internationally acknowledged and appreciated.<a href=""https://t.co/SwCYspHIoz"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/SwCYspHIoz</a>",Jan 24,114
152,"More power to Megha Bose’s scholastic zeal! She distinguished herself at several Olympiads and quizzes. It was wonderful to interact with her and discuss a wide range of issues. Happy that she has been conferred the Bal Shakti Puraskar.<a href=""https://t.co/8Uv8nooNQN"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/8Uv8nooNQN</a>",Jan 24,138
153,"Odisha's Ayushman Tripathy has won many accolades for his scholastic abilities at the National and International, level including at the International Junior Science Olympiad, 2016 held at Bali, Indonesia. He has represented India in Global Youth Leaders Conference, 2018 in USA.<a href=""https://t.co/ww5WKmQuq3"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/ww5WKmQuq3</a>",Jan 24,112
154,"Ensuring a healthy India! 

Met Dr. Arunalla Sridhar Reddy from Andhra Pradesh, who has conducted free dental check-ups and treatment for thousands of children. He also runs 3 homes to take care of under-privileged children.<a href=""https://t.co/ZraNgXFNlR"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/ZraNgXFNlR</a>",Jan 24,123
155,"Congratulated the energetic Tashi Namgyal, who has been supporting the education of young children from poor economic backgrounds. He runs 5 schools in Himachal Pradesh through which many children have benefitted.<a href=""https://t.co/13Q86yo7n2"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/13Q86yo7n2</a>",Jan 24,93
156,"Youngsters like Eiha Dixit indicate that the Yuva Shakti of India will do outstanding things. She celebrated her 6th birthday by planting record 1008 saplings! She is extremely passionate about mitigating climate change. Proud that she has been conferred the Bal Shakti Puraskar.<a href=""https://t.co/XVFNwyFmqO"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/XVFNwyFmqO</a>",Jan 24,211
157,"Through theatre, Prathyaksha B R has been spreading awareness about the importance of toilets in homes. 

She conducted plays in remote villages of Karnataka and inspired people to construct toilets in their home. 

Happy that she has got the Bal Shakti Puraskar.<a href=""https://t.co/gLL0tvvkvR"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/gLL0tvvkvR</a>",Jan 24,135
158,"Meet Aryamaan Lakhotia from West Bengal. 

He founded ‘Toy Joy’ with the aim of collecting and distributing toys to the underprivileged children in Kolkata. 

The organisation has spread to seven cities and brightened the lives of thousands of children!<a href=""https://t.co/g8Lu7W1P6b"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/g8Lu7W1P6b</a>",Jan 24,135
159,"Delhi’s Madhav Lavakare made an affordable wearable assistive device for the hearing impaired called ‘Transcribe.’ 
It aims to bridge the communication gap between hearing impaired persons and those with hearing ability but not knowing sign language.
Happy to have met him today.<a href=""https://t.co/0TEqUc6mdA"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/0TEqUc6mdA</a>",Jan 24,135
160,"Innovative Yuva Shakti! 

A U Nachiketh Kumar prepared standard rubber sheets from a fruit named Bilimbi (Averrhoa bilimbi) as a sustainable and environment friendly substitute for rubber latex created from formic acid by farmers. 

Best wishes to him for his future endeavours.<a href=""https://t.co/0fLNBbIqgI"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/0fLNBbIqgI</a>",Jan 24,136
161,"Naisargik Lenka is 16 and at such a young age, he worked on innovative solutions for remediation of contaminated soil and water, a method of treating municipal waste water and a smart toilet model which has been named 'Swachh APT.’ 
A fitting recipient of the Bal Shakti Puraskar!<a href=""https://t.co/JxkDGZzY54"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/JxkDGZzY54</a>",Jan 24,107
162,"Saluting the innovative zeal of young India.

The projects Aswath Suryanarayanan steered include ‘Magnetically operated Kinetic Car (MAGOKIN)’, and a mathematical model for managing space debris.

Congrats on being conferred the Bal Shakti Puraskar.<a href=""https://t.co/PRNn8sZSSY"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/PRNn8sZSSY</a>",Jan 24,108
163,"Towering efforts, outstanding outcomes! 
Arunima Sen has done great work. She developed a model for energy efficient skyscrapers, solution to increase barley yield &amp; a device determining micronutrient levels in a body using strands of hair. 
Glad she won the Bal Shakti Puraskar.<a href=""https://t.co/NUrzAVegz5"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/NUrzAVegz5</a>",Jan 24,167
164,"My young friend Mohammed Suhail Chinya Salimpasha hails from Karnataka. 

He has been awarded the Bal Shakti Puraskar for his work in using technology to diagnose Pre-symptomatic Protein Energy Malnutrition non-invasively using paper. 

Congratulations to him!<a href=""https://t.co/blFUMliYKp"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/blFUMliYKp</a>",Jan 24,398
165,"Had a wonderful interaction with winners of Rashtriya Bal Puraskar 2019.<a href=""https://t.co/wPqvl2CL3Z"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/wPqvl2CL3Z</a>",Jan 24,321
166,"I am grateful to the Bose family for presenting me a cap worn by Netaji Bose himself. 

The cap has been immediately added to the display gallery at Kranti Mandir in the Red Fort complex. 

I hope more youngsters come to Kranti Mandir and get inspired by the life of Netaji Bose.<a href=""https://t.co/ujl6IBmFX5"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/ujl6IBmFX5</a>",Jan 23,1.1K
167,"It was extremely humbling to inaugurate four museums relating to India's rich history and culture. 

This entire complex of museums will be known as Kranti Mandir as a tribute to the revolutionary zeal and courage of our great freedom fighters.<a href=""https://t.co/9mNUTWzUIS"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/9mNUTWzUIS</a>",Jan 22,242
168,"I bow to Netaji Subhas Chandra Bose on his Jayanti. 

He was a stalwart who committed himself towards ensuring India is free and leads a life of dignity. We are committed to fulfilling his ideals and creating a strong India.<a href=""https://t.co/QpE967nuUH"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/QpE967nuUH</a>",Jan 22,1.6K
169,"Celebrate, do not fear exams.

I am glad that people not only from India but also from overseas are going to be a part of the  Pariksha Pe Charcha 2.0 programme. 

Keep sharing your exam experiences on MyGov so that others read and get inspired.<a href=""https://t.co/OCJCfrWisx"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/OCJCfrWisx</a>",Jan 22,427
170,"Inaugurated Centers of Excellence at Deen Dayal Hastkala Sankul. These centres will give a boost to those associated with the textiles and handicrafts sector and contribute to India’s prosperity.<a href=""https://t.co/mc2U98E1g5"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/mc2U98E1g5</a>",Jan 22,215
171,"Made an announcement at the <a href=""/hashtag/PBD2019?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>PBD2019</b></a>. Know what it is...<a href=""https://t.co/Y8Y5FfLGX1"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Y8Y5FfLGX1</a>",Jan 22,170
172,"At the peak of his party’s power, a former PM said that for every Rupee, only 15 paisa reaches the poor. Which was the hand that was siphoning off all funds?

NDA Government’s paradigm shift in Governance has ensured the fruits of development reach the intended beneficiaries.<a href=""https://t.co/oKwe7dYaHc"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/oKwe7dYaHc</a>",Jan 22,537
173,"India is at the forefront of global leadership in various sectors. 

Our country is undertaking numerous initiatives to ensure a better tomorrow for the coming generations.<a href=""https://t.co/AuiLYtDewG"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/AuiLYtDewG</a>",Jan 22,278
174,"I have had the privilege to visit the Sree Siddaganga Mutt and receive the blessings of His Holiness Dr. Sree Sree Sree Sivakumara Swamigalu. 

The wide range of community service initiatives being done there are outstanding and are at an unimaginably large scale.<a href=""https://t.co/wsmRp2cERd"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/wsmRp2cERd</a>",Jan 21,1.3K
175,"HH Dr. Sree Sree Sree Sivakumara Swamigalu remained at the forefront of ensuring better healthcare and education facilities for the marginalised. 

He represents the best of our traditions of compassionate service, spirituality and protecting the rights of the underprivileged.<a href=""https://t.co/Tp6o5ULU2d"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Tp6o5ULU2d</a>",Jan 21,430
176,"His Holiness Dr. Sree Sree Sree Sivakumara Swamigalu lived for the people, especially the poor and vulnerable.  He devoted himself towards alleviating ills like poverty, hunger and social injustice. 

Prayers and solidarity with his countless devotees spread all across the world.<a href=""https://t.co/AqgOLgqTrn"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/AqgOLgqTrn</a>",Jan 21,884
177,"As far as the issue of mining in Goa is concerned, the Centre, State Government and BJP MPs from the state are looking at all possible ways to solve the matter.

BJP will always safeguard the rights and wellbeing of the poor.<a href=""https://t.co/XyGt9SNdgi"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/XyGt9SNdgi</a>",Jan 20,266
178,"The NDA government in unwavering in our commitment to social justice. 

Those who ruled the nation for years had no vision or roadmap to ensure empowerment for all.<a href=""https://t.co/8H8qh5wawU"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/8H8qh5wawU</a>",Jan 20,272
179,"NDA governments at the Centre and Maharashtra have undertaken record number of initiatives for the farmers. 

On the contrary, Congress and NCP’s notable contribution was irrigation scam and total apathy towards farmers.<a href=""https://t.co/lr2S3t6E9r"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/lr2S3t6E9r</a>",Jan 20,191
180,"उनके पास धन शक्ति है, हमारे पास जन शक्ति है।

उनको अपना परिवार बचाना है, हमें देश बनाना है।<a href=""https://t.co/JoMTl58SkO"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/JoMTl58SkO</a>",Jan 20,1.9K
181,"The wonderful city of Mumbai is now home to the excellent National Museum of Indian Cinema. 

Here are some pictures.<a href=""https://t.co/F9Jb9tM8IB"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/F9Jb9tM8IB</a>",Jan 19,665
182,"Their day begins with Modi, ends with Modi.

All they want to do is further their own dynasties. 

They have zero vision for India. 

Our approach is different. 

For us, India is everything, 130 crore Indians are everything.<a href=""https://t.co/9aEOSwYhRh"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/9aEOSwYhRh</a>",Jan 19,949
183,"Entire Opposition hates me because my ‘crimes’ are:

Waging the toughest war against corruption.

Stopping the reign of middlemen from the corridors of power.

Giving the poor what belongs to them in the first place but was denied for years.<a href=""https://t.co/EK8DrHeAhO"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/EK8DrHeAhO</a>",Jan 19,1.5K
184,"The progress made by the Union Territories of Dadra and Nagar Haveli, as well as Daman and Diu in the last four years will make you very happy!<a href=""https://t.co/NhD1D0oIFT"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/NhD1D0oIFT</a>",Jan 19,252
185,"Had the privilege of inaugurating the Larsen and Toubro Armoured Systems Complex in Hazira, Gujarat. 

Boosting ‘Make in India’ in the defence sector is our endeavour. I am glad that the private sector too is supporting this pursuit and making a valuable contribution.<a href=""https://t.co/2zJynr5aCw"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/2zJynr5aCw</a>",Jan 19,611
186,"I congratulate the entire team of Larsen &amp; Toubro for building the state-of-the-art K-9 Vajra Self Propelled Howitzer. 

This is a significant contribution towards India’s defence sector and protecting the country.<a href=""https://t.co/9YLRjHYdFE"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/9YLRjHYdFE</a>",Jan 19,1.6K
187,"Checking out the tanks at L&amp;T’s Armoured Systems Complex in Hazira.<a href=""https://t.co/zf7wRrbX7Y"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/zf7wRrbX7Y</a>",Jan 18,3.2K
188,"The laser show at Dandi Kutir is wonderful! 

Technology has merged with history and the show takes the viewers through the life of the great Bapu. 

Happy to have inaugurated the show today.<a href=""https://t.co/TOUHJeM880"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/TOUHJeM880</a>",Jan 18,212
189,"Mr. Andrej Babiš, the Prime Minister of the Czech Republic and I held wide-ranging talks in Gandhinagar. His presence at the Vibrant Gujarat Summit is a great gesture. We discussed bilateral cooperation in defence, transportation and manufacturing.<a href=""https://t.co/ttVYVcc5Ca"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/ttVYVcc5Ca</a>",Jan 18,178
190,"Had an excellent meeting with PM <a href=""/larsloekke"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""26201346""><s>@</s><b>larsloekke</b></a> of Denmark.

Denmark is a valued friend and we discussed deepening cooperation in energy, trade, agriculture and other areas.<a href=""https://t.co/p3eP0jqUMW"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/p3eP0jqUMW</a>",Jan 18,162
