,Text,Date,Likes
16,"प्रधानमंत्री ऊर्जा गंगा योजना पूर्वी भारत के विकास में महत्वपूर्ण भूमिका निभा रही है।<a href=""https://t.co/QGUKBbsZWk"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/QGUKBbsZWk</a>",Feb 17,361
17,"In Yavatmal, talked about landmark decisions for the benefit of farmers and nomadic communities.<a href=""https://t.co/X6uqbxs1mT"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/X6uqbxs1mT</a>",Feb 16,1.0K
18,"Connecting people, furthering aspirations. 

The foundation stones and inaugurations took place for many connectivity related projects, which will improve convenience for people in Yavatmal and surrounding areas. 

Several people also got their own new homes.<a href=""https://t.co/JwlDusVs46"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/JwlDusVs46</a>",Feb 16,407
19,"Ayushman Bharat is having a positive impact among the poor, SC and ST communities of Maharashtra. 

Thanks to Ayushman Bharat, good quality and affordable healthcare is no longer a dream…<a href=""https://t.co/vGrhh90vIv"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/vGrhh90vIv</a>",Feb 16,439
20,"Dhule and Gau Mata have a glorious history. 

The proposed Kamdhenu Aayog will have a transformative impact as far as the animal husbandry sector is concerned.<a href=""https://t.co/1nIv4q0aLg"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/1nIv4q0aLg</a>",Feb 16,280
21,"A significant effort has been made today to overcome the issue of water scarcity in Maharashtra. 

At the same time, there is emphasis on ensuring better irrigation and improving sewer systems.<a href=""https://t.co/DBnMW09UlD"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DBnMW09UlD</a>",Feb 16,327
22,"The dastardly attack in Pulwama has anguished the nation. 

Yes, this is a time of great sadness. 

But, I assure every family that a befitting reply will be given!<a href=""https://t.co/k9eSlfAePf"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/k9eSlfAePf</a>",Feb 16,4.0K
23,"It was good interacting with my sisters and brothers of Maharashtra during programmes at Yavatmal and Dhule. 

Here are some glimpses.<a href=""https://t.co/vkrtfw4WJA"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/vkrtfw4WJA</a>",Feb 16,713
24,"We salute you, brave sons of Mother India. 

You lived for the nation and served the country with unparalleled valour. 

We stand in solidarity with the bereaved families.<a href=""https://t.co/tav2J3hSMI"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/tav2J3hSMI</a>",Feb 15,16K
25,"A grateful nation bows to the martyrs of Pulwama. 

A befitting reply will be given to the perpetrators of the heinous attack and their patrons. 

No force will succeed in disturbing peace, progress and stability of India.<a href=""https://t.co/hFq0pUByVJ"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/hFq0pUByVJ</a>",Feb 14,12K
26,"In Kurukshetra today, I had the opportunity to see glimpses of some of the toilets that have been painted. 

I was impressed, both by the dexterity of the artists and the passion towards cleanliness. 

Such awareness and efforts add valuable strength to the Swachh Bharat Mission.<a href=""https://t.co/BDLPxiZbjH"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/BDLPxiZbjH</a>",Feb 12,917
27,"On the way to Kurukshetra, captured a picture of the sacred Brahma Sarovar. 

Next time you are travelling to Haryana, do make it a point to see this iconic place and the other tourist places in the state. <a href=""/hashtag/IncredibleIndia?src=hash"" data-query-source=""hashtag_click"" class=""twitter-hashtag pretty-link js-nav"" dir=""ltr""><s>#</s><b>IncredibleIndia</b></a><a href=""https://t.co/LEt6vmXm8L"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/LEt6vmXm8L</a>",Feb 12,451
28,"जो भ्रष्ट है, उसको मोदी से कष्ट है!<a href=""https://t.co/BxWuzXmySY"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/BxWuzXmySY</a>",Feb 12,2.7K
29,"A commitment towards the development of Haryana, including better healthcare and education opportunities.<a href=""https://t.co/3VAtx0lTFj"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/3VAtx0lTFj</a>",Feb 12,230
30,"Increased maternity leave.

Fulfilling entreprenurial dreams through Mudra Yojana.

Focus on maternal health. 

The efforts of the NDA Government are contributing towards empowerment of women.<a href=""https://t.co/F2ZAzrgNmY"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/F2ZAzrgNmY</a>",Feb 12,261
31,"The Swachh Shakti- 2019 in Haryana’s Kurukshetra was a wonderful occasion to honour the outstanding people who are making the Swachh Bharat Movement stronger at the grassroots level. 

In Kurukshetra, also inaugurated and laid foundation stones for various development works.<a href=""https://t.co/M8p9WXzISm"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/M8p9WXzISm</a>",Feb 12,262
32,"This morning, Atal Ji’s portrait at Parliament’s Central Hall was unveiled by Rashtrapati Ji.

India is proud of Atal Ji’s landmark contribution to the nation. His leadership took India to newer heights of progress. <a href=""/rashtrapatibhvn"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""885487044243238912""><s>@</s><b>rashtrapatibhvn</b></a><a href=""https://t.co/oPT9tzmvbD"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/oPT9tzmvbD</a>",Feb 12,368
